Cliente,Nit,Ejecutivo,Email,EjId,CliId
LABORATORIO EDO,900974517,Jhon Jairo Cardenas,ejecutivo.thpereira@proservis.com.co,e10,c77
LLE SER LIMITADA,8050061418,Andrea Martínez,ejecutivo.cali6@proservis.com.co,e2,c78
MANITOBA S.A.S.,800024095,Ginna Toro,ejecutivo.cali3@proservis.com.co,e9,c79
MEJIA ALZATE MILLER ALBERTO - DISTRIBUCIONES MILEY,800072656,Yerly Milena Gomez,ejecutivo.bogota@proservis.com.co,e17,c80
MENDIOLA S.A.S.,890300794,Evelyn Lopez,ejecutivo.cali2@proservis.com.co,e7,c81
MERCADEO EFECTIVO,830135377,Yerly Milena Gomez,ejecutivo.bogota@proservis.com.co,e17,c82
METALMECANICA PROMOAMBIENTAL S.A.S.,900326523,Francisco Castro,gestor.cartagena@proservis.com.co,e8,c83
MOTOR K,901137260,Maria Helena Delgado,ejecutivo.thpasto@proservis.com.co,e15,c84
NC CONSTRUCTORES S.A.S.,901104914,Maria Helena Delgado,ejecutivo.thpasto@proservis.com.co,e15,c85
NECSOFTPC SAS,900268588,Jhonatan Gonzalez,ejecutivo.bogota1@proservis.com.co,e11,c86
NOPIN DE COLOMBIA,900416025,Jhon Jairo Cardenas,ejecutivo.thpereira@proservis.com.co,e10,c87
NOVELTEX S.A.S.,900349093,Jhon Jairo Cardenas,ejecutivo.thpereira@proservis.com.co,e10,c88
NOVOMATIC SAS,830083714,Claudia Sanchez,lider.operativo@proservis.com.co,e5,c89
ONZE INVERSIONES S.A.S. - GRUPO FINESA,901551302,Jhon Jairo Cardenas,ejecutivo.thpereira@proservis.com.co,e10,c90
OPERACIONES BLACKROOM S.A.S.,901623666,Jhon Jairo Cardenas,ejecutivo.thpereira@proservis.com.co,e10,c91
OPERCOMEX S.A.S.,815000524,Andrea Martínez,ejecutivo.cali6@proservis.com.co,e2,c92
PACARIBE S.A. E.S.P,805006362,Francisco Castro,gestor.cartagena@proservis.com.co,e8,c93
PACARIBE S.A. E.S.P,900332590,Francisco Castro,gestor.cartagena@proservis.com.co,e8,c94
PANADERIA MONTECARLO,,Jhonatan Gonzalez,ejecutivo.bogota1@proservis.com.co,e11,c95
PARABOR COLOMBIA,800159219,Jhonatan Gonzalez,ejecutivo.bogota1@proservis.com.co,e11,c96
PLASTIC FILMS IN S.A.,800220225,Jhon Jairo Cardenas,ejecutivo.thpereira@proservis.com.co,e10,c97
PLASTICOS FARALLONES S.A.,805031358,Jhon Jairo Cardenas,ejecutivo.thpereira@proservis.com.co,e10,c98
POSITIVO GROUP S.A.S.,900227153,Yerly Milena Gomez,ejecutivo.bogota@proservis.com.co,e17,c99
PROADHESIVOS SAS,805003151-8,Andrea Martínez,ejecutivo.cali6@proservis.com.co,e2,c100
PRODUCE SOCIEDAD POR ACCIONES SIMPLIFICADA,9003620022,Evelyn Lopez,ejecutivo.cali2@proservis.com.co,e7,c101
PRODUCTOS ALIMENTICIOS LA LOCURA S.A.S.,890328444,Jhon Jairo Cardenas,ejecutivo.thpereira@proservis.com.co,e10,c102
PRODUCTOS YUPI S.A.S.,890315540,Alejandra Loaiza,ejecutivocali.gh@yupi.com.co,e1,c103
PRODUCTOS YUPI S.A.S.,890315540-8,Alejandra Loaiza,ejecutivocali.gh@yupi.com.co,e1,c104
PROMOCALI S.A. ESP,814006870,Diana Flor,ejecutivo.promoambiental@proservis.com.co,e6,c105
PROMOVALLE S.A. ESP,800084048,Diana Flor,ejecutivo.promoambiental@proservis.com.co,e6,c106
PUERTO 125 S.A.S.,901223597,Jhon Jairo Cardenas,ejecutivo.thpereira@proservis.com.co,e10,c107
QBCO S.A.S.,800012375,Johan Andrey Moncada,ejecutivo.buga@proservis.com.co,e12,c108
RANPACK SAS,900742601,Ginna Toro,ejecutivo.cali3@proservis.com.co,e9,c109
RED VITAL TOTAL,901861169,Yerly Milena Gomez,ejecutivo.bogota@proservis.com.co,e17,c110
REDES LOGICAS LFC S.A.S.,900942390,Johan Andrey Moncada,ejecutivo.buga@proservis.com.co,e12,c111
RYG ASOCIADOS,805016873,Yerly Milena Gomez,ejecutivo.bogota@proservis.com.co,e17,c112
SANTIPOLLO SAS,901128762,Johan Andrey Moncada,ejecutivo.buga@proservis.com.co,e12,c113
SEGURIDAD ATLAS LTDA,890312749,Jhon Jairo Cardenas,ejecutivo.thpereira@proservis.com.co,e10,c114
SIAMO SERVICIOS S.A.S.,800155500,Marian Urueta,ejecutivo.bucaramanga@proservis.com.co,e16,c115
SLA INVERSIONES S.A.S.,901901535,Jhon Jairo Cardenas,ejecutivo.thpereira@proservis.com.co,e10,c116
SYSTEMPACK LIMITADA,800103864,Jhonatan Gonzalez,ejecutivo.bogota1@proservis.com.co,e11,c117
TAESCOL S.A.S.,800136926,Yerly Milena Gomez,ejecutivo.bogota@proservis.com.co,e17,c118
TALTON INTERNACIONAL,830030574,Yerly Milena Gomez,ejecutivo.bogota@proservis.com.co,e17,c119
TEXTILES NGA SAS,900601204,Jhonatan Gonzalez,ejecutivo.bogota1@proservis.com.co,e11,c120
TRAPICHE LA CAMELIA DEL CAUCA S.A.S.,860026123,Marian Urueta,ejecutivo.bucaramanga@proservis.com.co,e16,c121
TURK HOUSE S.A.S.,900962695,Juan David Varela,ejecutivo.integral@proservis.com.co,e14,c122
VATIA S.A.S.,817001892,Evelyn Lopez,ejecutivo.cali2@proservis.com.co,e7,c123
VEEVART S.A.S.,901160406,Jhon Jairo Cardenas,ejecutivo.thpereira@proservis.com.co,e10,c124
VITAFITNESS S.A.S.,901464041,Marian Urueta,ejecutivo.bucaramanga@proservis.com.co,e16,c125
VITRALUX WINDOWS SAS.,900717629,Andrea Martínez,ejecutivo.cali6@proservis.com.co,e2,c126
